ticker,name
195870.KS,해성디에스
249420.KS,일동제약
280360.KS,롯데웰푸드
281820.KS,케이씨텍
285130.KS,SK케미칼
298050.KS,HS효성첨단소재
365550.KS,ESR켄달스퀘어리츠
499790.KS,GS피앤엘
000370.KS,한화손해보험
001270.KS,부국증권
003030.KS,세아제강지주
003850.KS,보령
004490.KS,세방전지
005090.KS,SGC에너지
006650.KS,대한유화
007700.KS,F&F홀딩스
025540.KS,한국단자
033240.KS,자화전자
064960.KS,SNT모티브
066575.KS,LG전자우
079160.KS,CJ CGV
079900.KS,전진건설로봇
108320.KS,LX세미콘
214320.KS,이노션
248070.KS,솔루엠
317450.KS,명인제약
451800.KS,한화리츠
456040.KS,OCI
00104K.KS,
001060.KS,JW중외제약
001500.KS,현대차증권
001680.KS,대상
002020.KS,코오롱
002350.KS,넥센타이어
003280.KS,흥아해운
003545.KS,대신증권우
003620.KS,KG모빌리티
005180.KS,빙그레
005880.KS,대한해운
0120G0.KS,
014820.KS,동원시스템즈
017940.KS,E1
069260.KS,TKG휴켐스
090460.KS,비에이치
093370.KS,후성
114090.KS,GKL
130660.KS,한전산업
293940.KS,신한알파리츠
000400.KS,롯데손해보험
000640.KS,동아쏘시오홀딩스
001570.KS,금양
002840.KS,미원상사
002960.KS,한국쉘석유
004690.KS,삼천리
005250.KS,녹십자홀딩스
006380.KS,카프로
011930.KS,신성이엔지
039130.KS,하나투어
058650.KS,세아홀딩스
093050.KS,LF
094800.KS,맵스리얼티
105840.KS,우진
178920.KS,PI첨단소재
268280.KS,미원에스씨
271940.KS,일진하이솔루스
336370.KS,솔루스첨단소재
381970.KS,케이카
383800.KS,LX홀딩스
000070.KS,삼양홀딩스
001820.KS,삼화콘덴서
002030.KS,아세아
002240.KS,고려제강
003000.KS,부광약품
003300.KS,한일홀딩스
005389.KS,현대차3우B
005420.KS,코스모화학
008730.KS,율촌화학
009410.KS,태영건설
014830.KS,유니드
016380.KS,KG스틸
016610.KS,DB증권
019170.KS,신풍제약
020000.KS,한섬
029530.KS,신도리코
217590.KS,티엠씨
284740.KS,쿠쿠홈시스
377740.KS,바이오노트
950210.KS,프레스티지바이오파마
001200.KS,유진투자증권
005810.KS,풍산홀딩스
005945.KS,NH투자증권우
006110.KS,삼아알미늄
006220.KS,제주은행
006340.KS,대원전선
009155.KS,삼성전기우
009900.KS,명신산업
016590.KS,신대양제지
034310.KS,NICE
090435.KS,아모레퍼시픽우
105630.KS,한세실업
138490.KS,
145720.KS,덴티움
145990.KS,삼양사
192650.KS,드림텍
448730.KS,삼성FN리츠
452260.KS,한화갤러리아
453340.KS,현대그린푸드
460860.KS,동국제강
001530.KS,DI동일
004700.KS,조광피혁
005610.KS,삼립
008060.KS,대덕
009290.KS,광동제약
010690.KS,화신
015360.KS,INVENI
016800.KS,퍼시스
017810.KS,풀무원
027410.KS,BGF
029460.KS,케이씨
031430.KS,신세계인터내셔날
034830.KS,한국토지신탁
072710.KS,농심홀딩스
089590.KS,제주항공
126720.KS,수산인더스트리
161000.KS,애경케미칼
183190.KS,아세아시멘트
306200.KS,세아제강
357120.KS,코람코라이프인프라리츠
000157.KS,두산2우B
001390.KS,KG케미칼
001940.KS,KISCO홀딩스
002310.KS,아세아제지
002810.KS,삼영무역
005720.KS,넥센
012030.KS,DB
015860.KS,일진홀딩스
018250.KS,애경산업
025860.KS,남해화학
026890.KS,스틱인베스트먼트
037270.KS,YG PLUS
060980.KS,HL홀딩스
084010.KS,대한제강
091810.KS,트리니티항공
097520.KS,엠씨넥스
170900.KS,동아에스티
200880.KS,서연이화
344820.KS,KCC글라스
417310.KS,코람코더원리츠
000650.KS,천일고속
001230.KS,동국홀딩스
002710.KS,TCC스틸
006405.KS,삼성SDI우
007690.KS,국도화학
010820.KS,퍼스텍
011760.KS,현대코퍼레이션
017390.KS,서울가스
017860.KS,DS단석
084690.KS,대상홀딩스
092200.KS,디아이씨
092230.KS,KPX홀딩스
104700.KS,한국철강
123890.KS,한국자산신탁
126560.KS,현대퓨처넷
128820.KS,대성산업
194370.KS,제이에스코퍼레이션
272450.KS,진에어
286940.KS,롯데이노베이트
403550.KS,쏘카
000320.KS,노루홀딩스
